ai_calls_acceptance_probability,ai_calls_best_offer_probability,ai_calls_count_repeated,ai_calls_offers,ai_calls_pauses,ai_nb_calls,ai_offer,cc_beta,cc_criterion,cc_false_alarm_avg_click_delay,cc_false_alarm_rate,cc_false_alarms,cc_hit_avg_click_delay,cc_hit_rate,cc_hits,cc_sensitivity,completion_code,cpc_expected_value,cpc_expected_value_max,cpc_expected_value_min,cpc_q1,cpc_q10,cpc_q2,cpc_q3,cpc_q4,cpc_q5,cpc_q6,cpc_q7,cpc_q8,cpc_q9,cpc_time_spent,exp_ultimatum_game_experience,feedback_accuracy,feedback_alternative,feedback_explanation,feedback_understanding,job_id,min_offer,model_type,offer,offer_dss,offer_final,prop_time_spent,prop_time_spent_dss,prop_worker_id,ras_assertiveness,ras_q1,ras_q10,ras_q11,ras_q12,ras_q13,ras_q14,ras_q15,ras_q16,ras_q17,ras_q18,ras_q19,ras_q2,ras_q20,ras_q21,ras_q22,ras_q23,ras_q24,ras_q25,ras_q26,ras_q27,ras_q28,ras_q29,ras_q3,ras_q30,ras_q4,ras_q5,ras_q6,ras_q7,ras_q8,ras_q9,ras_time_spent,resp_rowid,resp_time_spent,resp_worker_id,risk_expected_value,risk_q1,risk_q2,risk_q3,risk_q4,risk_time_spent,timestamp,worker_id
0.083:0.1363,0.0007:0.0336,2,25:40,22:8,2,50,0.7862472003636766,-0.14646590795280967,322.0,0.25,1,291.0,0.8333333333333334,5,1.6419113162977828,prop:MzYkj,9.9165,14.127,3.6885,7.0,6.5,13.0,30.0,14.565,5.16,14.5,2.015,-9.0,15.425,117,0,ai_equal_to_proposer,3,2,6,3Z33IC0JD3SMJCBCWZ2FP1NIKQ99VU,50,real,25,30,30,11,23,A2BW6#####9EGV,53,-1,1,-2,-3,-2,-3,-2,-2,-3,1,-1,-2,2,2,3,-2,-2,2,-2,2,1,1,2,-2,1,-2,1,1,2,-2,133,1,14,A2W3A#####J861,3.005,1.0499999999999998,1.99,4.0,4.98,74,2019-11-05 22:21:16.668128,A2BW6#####9EGV
0.8876:0.1363:0.9387:0.716:0.9277:0.9556:0.1538:0.0782:0.9164:0.706:0.7877,0.13:0.0336:0.0316:0.2681:0.0528:0.1957:0.0767:0.0007:0.0548:0.8212:0.3978,15,65:40:80:55:75:95:45:20:70:50:60,23:4:6:4:3:2:3:4:2:3:10,11,50,0.7862472003636766,-0.14646590795280967,285.0,0.25,1,308.0,0.8333333333333334,5,1.6419113162977828,prop:QYHVc,10.5161,11.307,6.9422,7.0,4.1583,13.0,30.0,14.565,5.16,15.0,2.565,-1.0875,14.8,96,0,ai_better,4,6,4,3Z33IC0JD3SMJCBCWZ2FP1NIKQ99VU,40,real,25,70,70,17,62,A1XPP#####6BQI,36,1,-2,-1,1,-2,-3,1,-2,1,-1,-2,2,1,3,3,-2,-3,3,-3,2,3,1,2,-3,1,-3,3,-2,2,-1,413,2,12,AT6LD#####USE,1.82,1.04,1.2000000000000002,2.0,3.04,31,2019-11-05 23:10:08.114052,A1XPP#####6BQI
0.0681:0.0708:0.9164:0.0899:0.1538:0.0628:0.1007:0.083:0.0782,0.0009:0.0008:0.0548:0.0013:0.0767:0.001:0.0192:0.0007:0.0007,21,10:15:70:30:45:5:35:25:20,28:12:3:8:10:2:3:5:24,9,50,1.2137316295023657,0.0914639071371534,0.0,0.0,0,413.4,0.8333333333333334,5,2.1177709464777092,prop:xTSmw,11.4628,15.852,4.001,14.0,6.5,13.0,30.0,14.565,5.16,14.5,2.565,-1.0875,15.425,70,0,ai_slighly_better,4,5,5,3Z33IC0JD3SMJCBCWZ2FP1NIKQ99VU,5,real,15,10,10,16,104,A2Q0L#####T2KN,49,-2,2,-3,-3,-2,-3,-3,-2,-3,2,1,-3,2,2,3,-2,-3,-2,-3,1,1,-2,-1,-3,1,-3,2,-1,1,-3,94,3,6,A3C0N#####FTZQ,4.645,1.09,1.99,5.5,10.0,47,2019-11-05 23:27:07.812981,A2Q0L#####T2KN
0.1007:0.1363:0.706:0.1538,0.0192:0.0336:0.8212:0.0767,5,35:40:50:45,42:10:12:5,4,50,1.2137316295023657,0.0914639071371534,0.0,0.0,0,310.8,0.8333333333333334,5,2.1177709464777092,prop:jkukZ,11.2786,14.467,5.3073,14.0,4.1583,13.0,30.0,14.565,5.16,15.0,2.565,-1.0875,15.425,131,0,ai_equal_to_proposer,1,2,6,3Z33IC0JD3SMJCBCWZ2FP1NIKQ99VU,40,real,35,50,50,17,70,A2R8I#####TY00,2,1,-1,2,2,2,1,-2,-2,-3,-3,2,3,-1,-1,2,-2,2,-1,-2,1,2,-1,-1,-3,-1,-2,2,-1,1,-2,219,4,20,A26LO#####ZZCO,4.645,1.09,1.99,5.5,10.0,104,2019-11-06 03:31:52.984930,A2R8I#####TY00
0.0069:0.706,0.0489:0.8212,2,0:50,26:19,2,50,0.7862472003636766,-0.14646590795280967,211.0,0.25,1,295.0,0.8333333333333334,5,1.6419113162977828,prop:mcVH9,11.4502,12.202,7.626,14.0,6.5,13.0,30.0,14.565,5.16,15.0,2.565,-1.0875,14.8,89,20,ai_equal_to_proposer,4,5,3,3Z33IC0JD3SMJCBCWZ2FP1NIKQ99VU,20,real,50,50,50,10,41,A2NAK#####VGAA,-61,3,-3,3,3,3,2,2,-1,2,-3,2,3,-1,-1,-2,3,2,-2,3,-1,-2,-2,-3,2,2,3,-1,-2,-2,-1,97,5,5,A1N16#####QEY6,2.2475,1.0,1.0,3.0,3.99,35,2019-11-07 01:03:25.738519,A2NAK#####VGAA
,,0,,,0,50,0.6262834321863123,-0.4837107830508505,172.0,0.5,2,288.6,0.8333333333333334,5,0.9674215661017009,prop:XXyz1,11.0418,11.982000000000001,8.5798,14.0,4.1583,13.0,30.0,14.565,3.4167,15.0,2.565,-1.0875,14.8,63,0,ai_equal_to_proposer,3,6,4,3Z33IC0JD3SMJCBCWZ2FP1NIKQ99VU,50,real,20,25,25,5,10,A36MD#####W2VQ,4,-1,2,-3,-3,-3,-3,3,1,-3,-2,2,-2,-2,1,-2,1,2,-3,-2,-3,-3,1,-1,-1,2,-3,2,-3,2,-2,117,6,7,A1XE5#####O5HH,1.3975,1.0,1.08,1.53,1.98,47,2019-11-07 01:16:24.584742,A36MD#####W2VQ
0.706,0.8212,1,50,54,1,50,0.4824547397462529,-0.3542521884522782,443.0,0.25,1,380.83333333333326,1.0,6,2.05748387729672,prop:gVZ26,8.2966,11.244000000000002,2.5662,7.0,4.1583,13.0,10.22,11.525,5.16,15.0,2.565,-1.0875,15.425,130,1,ai_slighly_better,6,7,6,3Z33IC0JD3SMJCBCWZ2FP1NIKQ99VU,5,real,50,60,60,18,49,A1HM9#####YM7Y,11,-1,1,2,2,2,-2,-1,-1,1,2,-1,2,1,-1,-1,-3,2,1,2,1,2,-1,1,-2,-2,-3,2,-2,1,-1,241,7,11,A3UEE#####25TS,1.395,0.99,1.08,1.53,1.98,67,2019-11-07 01:43:16.710307,A1HM9#####YM7Y
0.706,0.8212,1,50,21,1,50,0.7862472003636766,-0.14646590795280967,243.0,0.25,1,227.6,0.8333333333333334,5,1.6419113162977828,prop:mpSe5,8.28,10.481,5.6123,14.0,4.1583,13.0,10.22,14.565,3.4167,15.0,2.015,-9.0,15.425,83,0,ai_equal_to_proposer,2,2,6,3Z33IC0JD3SMJCBCWZ2FP1NIKQ99VU,30,real,50,50,50,8,27,A3OB6#####GHK1,-12,1,-2,1,2,-2,-3,1,3,2,-2,3,1,1,1,1,-1,-1,-2,1,1,1,-1,-2,1,2,-1,2,-2,1,-1,139,8,9,A11C2#####G6JK,2.8875,1.05,1.5,3.0,6.0,28,2019-11-07 21:02:35.145852,A3OB6#####GHK1
0.706,0.8212,1,50,29,1,50,1.2137316295023657,0.0914639071371534,0.0,0.0,0,334.8,0.8333333333333334,5,2.1177709464777092,prop:kSeXG,11.3953,12.212,7.3135,14.0,6.5,13.0,30.0,14.565,5.16,15.0,2.015,-1.0875,14.8,95,0,ai_better,7,7,7,3Z33IC0JD3SMJCBCWZ2FP1NIKQ99VU,50,real,50,50,50,18,15,AP9NO#####RWI,-17,2,1,1,1,-1,1,1,2,2,-2,1,3,-2,1,2,-1,1,-1,2,-2,1,-1,1,-1,1,2,1,-1,1,-1,133,10,21,A1OZN#####LC9V,1.7775,0.99,1.08,2.0,3.04,26,2019-11-08 10:40:50.082568,AP9NO#####RWI
0.1538:0.9277,0.0767:0.0528,2,45:75,53:7,2,50,1.2554175313546805,0.33724487509804085,298.0,0.25,1,232.66666666666663,0.5,3,0.6744897501960817,prop:Ue70N,9.959,10.467,7.626,7.0,6.5,13.0,30.0,14.565,5.16,15.0,2.565,-9.0,14.8,102,1,ai_slighly_better,3,3,5,3Z33IC0JD3SMJCBCWZ2FP1NIKQ99VU,50,real,65,60,60,37,33,A2X77#####QQYB,-12,1,-2,-1,1,2,-2,-2,-1,-3,-1,3,1,-1,-1,-2,1,2,-2,1,-1,-3,1,-2,1,-1,-2,2,-2,2,-1,160,9,23,ACRBW#####8F5,2.8425,1.04,1.3299999999999998,3.0,6.0,189,2019-11-08 10:10:24.901649,A2X77#####QQYB
,,0,,,0,50,0.7447665023958179,1.266671753738323,0.0,0.0,0,0.0,0.0,0,-0.2326447467246302,prop:CPusj,10.1669,13.09,5.24,7.0,6.5,13.0,30.0,11.525,3.4167,14.5,2.015,-1.0875,14.8,139,0,ai_sligthly_worse,3,5,5,3Z33IC0JD3SMJCBCWZ2FP1NIKQ99VU,35,real,50,50,50,18,78,A1LDB#####W99C,16,1,1,1,1,1,-1,1,-2,-1,1,1,-1,1,1,3,-1,1,2,-1,2,2,2,1,-1,2,2,1,-1,2,-1,211,11,21,A3U30#####P0J6,1.8525,1.0499999999999998,1.38,3.0,1.98,37,2019-11-08 10:40:28.823433,A1LDB#####W99C
0.1007,0.0192,1,35,23,1,50,0.7447665023958179,1.266671753738323,0.0,0.0,0,0.0,0.0,0,-0.2326447467246302,prop:WlyAU,11.4628,15.852,4.001,14.0,6.5,13.0,30.0,14.565,5.16,14.5,2.565,-1.0875,15.425,74,10,ai_slighly_better,6,5,6,3Z33IC0JD3SMJCBCWZ2FP1NIKQ99VU,50,real,50,65,65,13,18,A2PLC#####IIW5,-7,2,1,1,1,-1,-1,-1,-1,1,1,-1,-1,1,1,1,-1,2,-1,-1,-1,-1,-1,-1,2,2,-1,1,-2,-2,2,145,12,9,A1C7X#####D8JE,3.0,1.0,1.5,3.5,6.0,45,2019-11-08 10:44:53.171856,A2PLC#####IIW5
0.706,0.8212,1,50,50,1,50,0.7447665023958179,1.266671753738323,0.0,0.0,0,0.0,0.0,0,-0.2326447467246302,prop:T6owW,8.3406,6.676,6.3935,14.0,6.5,2.2333,10.22,14.565,5.16,15.0,2.015,-1.0875,14.8,135,20,ai_slighly_better,1,2,7,3Z33IC0JD3SMJCBCWZ2FP1NIKQ99VU,10,real,50,50,50,16,57,AYW62#####UT1,-21,1,1,2,3,1,2,1,2,-1,1,1,2,2,-2,-1,2,2,1,3,-1,1,-1,1,3,1,-1,1,1,2,3,290,13,14,A2U3H#####QNPE,2.4775,1.08,1.3299999999999998,2.52,4.98,149,2019-11-08 11:14:13.543084,AYW62#####UT1
0.0899,0.0013,1,30,31,1,50,0.7447665023958179,1.266671753738323,0.0,0.0,0,0.0,0.0,0,-0.2326447467246302,prop:XYunm,10.609000000000002,12.257,7.136,14.0,6.5,13.0,30.0,14.565,5.16,14.5,2.565,-9.0,14.8,30,2,ai_slighly_better,6,5,6,3Z33IC0JD3SMJCBCWZ2FP1NIKQ99VU,40,real,30,60,60,12,60,A3UMX#####WDP7,33,-3,3,-1,3,3,-3,3,-3,-3,-3,3,-3,3,3,3,-3,-3,1,-3,3,-3,-3,3,1,3,-3,3,3,3,-2,452,14,25,AUZPU#####TX5,3.0125,1.05,1.5,3.5,6.0,45,2019-11-08 11:52:48.720358,A3UMX#####WDP7
0.716,0.2681,1,55,27,1,50,1.2137316295023657,0.0914639071371534,0.0,0.0,0,372.8,0.8333333333333334,5,2.1177709464777092,prop:3EWuP,6.9831,6.159,5.9388,7.0,4.1583,2.2333,10.22,11.525,3.4167,15.0,2.565,-1.0875,14.8,46,10,ai_much_better,6,7,6,3Z33IC0JD3SMJCBCWZ2FP1NIKQ99VU,50,real,35,35,35,17,15,A3NQ4#####H0OL,-45,2,-3,2,2,3,1,2,3,-2,-2,2,2,1,1,1,2,1,-1,2,-2,-2,-1,-1,3,3,2,-1,-2,-2,1,109,17,5,A39XI#####NHFU,1.395,0.99,1.08,1.53,1.98,20,2019-11-08 17:58:57.049438,A3NQ4#####H0OL
0.1363,0.0336,1,40,50,1,50,1.1441994342256387,0.12188122545031213,360.0,0.25,1,414.25,0.6666666666666666,4,1.1052170494915392,prop:a4JhS,7.4064,5.781000000000001,5.7098,7.0,4.1583,2.2333,10.22,14.565,5.16,15.0,2.015,-1.0875,14.8,28,0,ai_better,4,3,5,3Z33IC0JD3SMJCBCWZ2FP1NIKQ99VU,100,real,40,50,50,19,61,A3SYY#####AATE,-4,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,71,15,12,A2KBT#####J7X4,4.645,1.09,1.99,5.5,10.0,41,2019-11-08 16:32:51.994669,A3SYY#####AATE
0.706:0.716,0.8212:0.2681,3,50:55,37:13,2,50,0.7447665023958179,1.266671753738323,0.0,0.0,0,0.0,0.0,0,-0.2326447467246302,prop:81Z2I,10.609000000000002,12.257,7.136,14.0,6.5,13.0,30.0,14.565,5.16,14.5,2.565,-9.0,14.8,111,1,ai_equal_to_proposer,2,5,6,3Z33IC0JD3SMJCBCWZ2FP1NIKQ99VU,30,real,50,50,50,12,57,A36K4#####H00L,12,2,2,1,-1,1,-1,-1,-1,-3,-1,-1,1,-1,2,2,-1,1,1,-2,-1,-1,1,1,1,1,-2,1,-1,3,1,128,16,176,A3C2X#####NNLV,4.645,1.09,1.99,5.5,10.0,23,2019-11-08 17:13:23.759106,A36K4#####H00L
,,0,,,0,50,0.7862472003636766,-0.14646590795280967,50.0,0.25,1,352.6,0.8333333333333334,5,1.6419113162977828,prop:TJFiP,11.1661,13.097000000000001,6.4523,14.0,4.1583,13.0,30.0,14.565,5.16,14.5,2.565,-1.0875,14.8,94,5,ai_better,5,5,4,3Z33IC0JD3SMJCBCWZ2FP1NIKQ99VU,50,real,15,75,75,8,9,A35HW#####3AFL,-76,2,-3,3,3,3,3,3,3,3,-3,3,3,-3,-3,-2,2,3,-3,3,-3,-2,-3,-3,3,3,2,-1,1,-1,2,115,18,6,A2GG7#####IXUR,2.595,1.02,1.38,3.0,4.98,42,2019-11-08 22:26:44.709185,A35HW#####3AFL
0.1538:0.083:0.9164,0.0767:0.0007:0.0548,3,45:25:70,48:5:3,3,50,0.7447665023958179,-0.1163223733623151,0.0,0.0,0,305.8333333333333,1.0,6,2.533343507476646,prop:Zekvl,7.331,10.184,4.2038,7.0,4.1583,13.0,10.22,11.525,3.4167,15.0,2.565,-9.0,15.425,47,2,ai_equal_to_proposer,3,4,5,3Z33IC0JD3SMJCBCWZ2FP1NIKQ99VU,50,real,45,50,50,31,36,A1L2N#####Z3W7,43,-1,1,-2,-2,-2,-3,-2,-2,-3,1,-2,-2,1,3,2,-2,-2,-1,-2,2,1,1,2,-2,1,-2,-1,-3,2,-2,102,21,4,AOWW3#####J6U,4.645,1.09,1.99,5.5,10.0,23,2019-11-08 22:48:50.458189,A1L2N#####Z3W7
,,0,,,0,50,1.2137316295023657,0.0914639071371534,0.0,0.0,0,316.8,0.8333333333333334,5,2.1177709464777092,prop:tGZky,10.6715,14.767000000000001,4.751,14.0,6.5,13.0,30.0,14.565,5.16,14.5,2.565,-9.0,15.425,75,1,ai_equal_to_proposer,1,7,4,3Z33IC0JD3SMJCBCWZ2FP1NIKQ99VU,50,real,50,50,50,27,53,A34H7#####6E93,39,-3,-3,-3,-3,-3,-3,-3,-2,-1,-1,2,-3,-2,-3,3,-3,3,-1,-3,3,3,2,-2,-2,-2,-3,2,1,2,-3,179,19,7,A26NG#####ATVN,1.0,1.0,1.0,1.0,1.0,30,2019-11-08 22:29:02.688287,A34H7#####6E93
,,0,,,0,50,0.7447665023958179,-0.1163223733623151,0.0,0.0,0,308.6666666666667,1.0,6,2.533343507476646,prop:1DemR,9.4722,9.266,6.606,14.0,6.5,13.0,10.22,14.565,5.16,15.0,2.565,-1.0875,14.8,74,0,ai_equal_to_proposer,5,6,4,3Z33IC0JD3SMJCBCWZ2FP1NIKQ99VU,50,real,100,100,100,27,23,A3KS8#####0L4W,-28,3,-3,1,3,3,-3,-1,2,-3,-3,-2,3,-2,3,-2,-2,2,-2,3,-2,-3,-2,-2,2,2,-3,2,-3,-1,-2,138,20,8,A270H#####LJ8W,4.645,1.09,1.99,5.5,10.0,35,2019-11-08 22:30:11.588615,A3KS8#####0L4W
0.706,0.8212,1,50,21,1,50,1.2137316295023657,0.0914639071371534,0.0,0.0,0,295.4,0.8333333333333334,5,2.1177709464777092,prop:hCp4D,10.4248,10.872,8.4422,14.0,4.1583,13.0,30.0,14.565,5.16,15.0,2.565,-9.0,14.8,70,0,ai_better,6,6,6,3Z33IC0JD3SMJCBCWZ2FP1NIKQ99VU,50,real,55,70,70,11,14,AM65I#####U4F,-29,1,-2,2,3,3,1,1,2,-1,-2,3,1,-1,-1,1,1,1,-2,-2,-2,1,-1,-2,1,-1,1,-1,-1,-1,-2,113,22,7,A3I0I#####KFFZ,4.645,1.09,1.99,5.5,10.0,31,2019-11-08 22:51:46.902201,AM65I#####U4F
0.716,0.2681,1,55,64,1,50,1.2137316295023657,0.0914639071371534,0.0,0.0,0,369.0,0.8333333333333334,5,2.1177709464777092,prop:PARb1,10.4248,10.872,8.4422,14.0,4.1583,13.0,30.0,14.565,5.16,15.0,2.565,-9.0,14.8,152,0,ai_slighly_better,6,5,5,3Z33IC0JD3SMJCBCWZ2FP1NIKQ99VU,25,real,50,40,40,48,18,A340U#####MEZF,25,1,-1,1,-2,1,-3,-1,1,-3,-1,-1,-1,2,2,2,-1,2,1,-1,1,2,1,2,-1,1,-2,2,-1,2,-2,207,23,15,AMARS#####3TG,3.925,1.0,1.2000000000000002,3.5,10.0,102,2019-11-08 22:49:51.601567,A340U#####MEZF
0.0069,0.0489,1,0,15,1,50,0.6262834321863123,0.4837107830508505,223.0,0.5,2,162.0,0.16666666666666666,1,-0.9674215661017009,prop:pVGHZ,9.9952,15.355,2.9212,7.0,4.1583,13.0,30.0,11.525,3.4167,14.5,2.015,-1.0875,15.425,12,3,ai_sligthly_worse,1,1,7,3Z33IC0JD3SMJCBCWZ2FP1NIKQ99VU,25,real,0,35,35,10,15,A12N4#####2Q8Y,1,3,-2,-2,3,2,3,2,3,2,2,-2,1,-2,3,2,3,2,-1,-2,-1,3,2,2,-3,-2,-3,2,3,1,3,14,24,5,A3JLE#####17E2,2.2275,1.05,1.38,4.5,1.98,4,2019-11-08 22:52:19.820279,A12N4#####2Q8Y
0.083:0.1363,0.0007:0.0336,2,25:40,84:19,2,50,1.1441994342256387,0.12188122545031213,203.0,0.25,1,348.25,0.6666666666666666,4,1.1052170494915392,prop:CKEZn,8.1791,8.744,4.6388,7.0,4.1583,13.0,10.22,11.525,5.16,15.0,2.015,-1.0875,14.8,41,16,ai_much_better,6,1,7,3Z33IC0JD3SMJCBCWZ2FP1NIKQ99VU,5,real,50,40,40,23,98,A1Q98#####BROL,-9,-1,-3,3,3,3,-3,-3,-3,-3,-3,3,-3,-3,-3,-3,-3,3,3,3,3,-3,-3,-3,3,-3,-3,2,-3,3,-3,102,25,9,A2F2D#####U4AK,2.2225,1.0499999999999998,1.3299999999999998,2.52,3.99,37,2019-11-08 23:07:29.372856,A1Q98#####BROL
0.0708,0.0008,1,15,10,1,50,0.7447665023958179,-0.1163223733623151,0.0,0.0,0,359.83333333333326,1.0,6,2.533343507476646,prop:VOQ4v,9.9465,11.26,8.3587,14.0,4.1583,13.0,30.0,11.525,3.4167,15.0,2.565,-9.0,14.8,79,0,ai_equal_to_proposer,5,5,4,3Z33IC0JD3SMJCBCWZ2FP1NIKQ99VU,40,real,20,20,20,5,10,A3VE9#####2N5G,-2,-2,2,1,-1,1,1,1,1,-1,1,1,-2,-1,1,1,-1,1,-1,1,1,-1,1,-2,-1,2,2,-1,1,-1,-1,62,26,9,A2SO6#####GBB7,4.27,1.09,1.99,5.0,9.0,27,2019-11-08 23:08:26.721989,A3VE9#####2N5G
0.0899,0.0013,1,30,65,1,50,0.7862472003636766,0.8209556581488914,152.0,0.25,1,468.0,0.16666666666666666,1,-0.2929318159056193,prop:vqC6H,9.0632,10.779000000000002,4.0825,14.0,6.5,13.0,10.22,11.525,5.16,14.5,2.015,-1.0875,14.8,32,0,ai_slighly_better,5,6,5,3Z33IC0JD3SMJCBCWZ2FP1NIKQ99VU,40,real,10,25,25,53,30,A1SVP#####6CV5,-9,-1,-1,-1,1,2,1,-1,1,1,1,2,2,1,1,2,1,3,3,2,1,1,2,1,2,2,3,1,-2,1,1,46,27,10,AWH9P#####UCX,1.395,0.99,1.08,1.53,1.98,23,2019-11-08 23:10:01.807344,A1SVP#####6CV5
0.1363,0.0336,1,40,23,1,50,1.2137316295023657,1.0588854732388544,0.0,0.0,0,175.0,0.16666666666666666,1,0.1829278142743068,prop:dw0ur,8.4665,10.765,5.2575,7.0,6.5,2.2333,30.0,11.525,3.4167,15.0,2.565,-9.0,15.425,14,1,ai_equal_to_proposer,3,3,5,3Z33IC0JD3SMJCBCWZ2FP1NIKQ99VU,10,real,50,50,50,13,23,A3EVR#####TE1A,11,1,-2,2,-2,-1,-2,-1,-2,-2,-1,1,-2,1,-1,-2,1,1,-2,-1,1,1,2,-2,-2,1,-1,1,2,2,-2,103,29,279,A2Y2A#####U47Q,3.9725,1.08,1.8,5.0,8.01,7,2019-11-08 23:14:25.373447,A3EVR#####TE1A
0.0681:0.0899:0.95:0.706,0.0009:0.0013:0.0353:0.8212,4,10:30:90:50,52:10:10:8,4,50,0.4824547397462529,1.0287419386483598,181.0,0.25,1,0.0,0.0,0,-0.7085043769045564,prop:1suth,10.4373,14.522,4.8173,14.0,4.1583,13.0,30.0,14.565,5.16,14.5,2.565,-9.0,15.425,54,25,ai_much_better,7,1,7,3Z33IC0JD3SMJCBCWZ2FP1NIKQ99VU,40,real,10,50,50,25,63,A20N1#####S88F,-2,2,1,1,-2,-3,-3,2,-1,-2,-2,2,2,1,2,1,1,1,-3,-1,-2,-2,1,-2,1,1,-2,1,-2,1,-2,140,28,6,AEF74#####EIA,4.645,1.09,1.99,5.5,10.0,12,2019-11-08 23:08:58.554495,A20N1#####S88F
0.0899,0.0013,1,30,31,1,50,1.2137316295023657,1.0588854732388544,0.0,0.0,0,340.0,0.16666666666666666,1,0.1829278142743068,prop:vH5UO,7.7642,11.216,3.556,7.0,6.5,13.0,10.22,14.565,3.4167,14.5,2.015,-9.0,15.425,35,5,ai_slighly_better,6,5,6,3Z33IC0JD3SMJCBCWZ2FP1NIKQ99VU,10,real,50,45,45,16,29,A19PA#####1OTQ,-2,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,-1,1,-1,1,-1,1,-1,1,-1,1,1,-1,-1,1,-1,1,-1,1,69,32,18,A3SXE#####XBMM,2.8125,1.0499999999999998,1.2000000000000002,2.0,7.0,38,2019-11-08 23:16:19.988220,A19PA#####1OTQ
0.716:0.706,0.2681:0.8212,2,55:50,61:12,2,50,1.7663033243692394,0.7905383398357327,0.0,0.0,0,353.0,0.3333333333333333,2,0.7196220810805503,prop:TyJiI,10.1955,10.907,9.0172,14.0,4.1583,13.0,30.0,14.565,3.4167,15.0,2.015,-9.0,14.8,19,0,ai_slighly_better,5,3,5,3Z33IC0JD3SMJCBCWZ2FP1NIKQ99VU,40,real,55,50,50,26,58,AMG80#####S2E,0,-1,-2,-2,2,1,1,2,2,-1,-1,1,1,-1,-1,2,1,1,2,1,2,1,1,1,-1,2,-1,1,1,2,-1,33,30,6,A16SA#####96G4,1.0,1.0,1.0,1.0,1.0,16,2019-11-08 23:17:54.295712,AMG80#####S2E
0.706,0.8212,1,50,40,1,50,0.7447665023958179,-0.1163223733623151,0.0,0.0,0,393.5,1.0,6,2.533343507476646,prop:mRCRb,10.1333,14.885,3.8463,14.0,4.1583,13.0,30.0,11.525,5.16,14.5,2.565,-9.0,15.425,86,0,ai_equal_to_proposer,2,2,7,3Z33IC0JD3SMJCBCWZ2FP1NIKQ99VU,25,real,50,50,50,17,42,A2W5M#####4Y2P,-36,3,2,3,2,-1,-1,-1,1,1,2,-1,3,-3,1,-1,3,3,-2,3,-1,-2,-2,-1,3,3,2,1,-2,-1,1,163,31,21,A28AX#####PH1F,2.7275,1.05,1.3299999999999998,1.53,7.0,36,2019-11-08 23:14:05.928575,A2W5M#####4Y2P
0.1363:0.706:0.1538,0.0336:0.8212:0.0767,3,40:50:45,52:14:6,3,50,0.7862472003636766,-0.14646590795280967,173.0,0.25,1,334.0,0.8333333333333334,5,1.6419113162977828,prop:HMOxj,7.8574,6.784,5.8013,14.0,4.1583,2.2333,10.22,11.525,5.16,15.0,2.565,-1.0875,14.8,31,3,ai_slighly_better,1,1,2,3Z33IC0JD3SMJCBCWZ2FP1NIKQ99VU,50,real,40,40,40,22,60,A3CTX#####Y7D8,14,-1,3,-2,2,-1,1,1,1,1,1,3,-1,-1,1,1,-1,2,1,-1,1,3,2,-2,-1,1,1,3,2,1,-3,133,33,14,A2INX#####M92F,3.0125,1.0499999999999998,1.5,3.5,6.0,23,2019-11-08 23:19:08.204611,A3CTX#####Y7D8
