ai_calls_acceptance_probability,ai_calls_best_offer_probability,ai_calls_count_repeated,ai_calls_offers,ai_calls_pauses,ai_nb_calls,ai_offer,cc_beta,cc_criterion,cc_false_alarm_avg_click_delay,cc_false_alarm_rate,cc_false_alarms,cc_hit_avg_click_delay,cc_hit_rate,cc_hits,cc_sensitivity,completion_code,cpc_expected_value,cpc_expected_value_max,cpc_expected_value_min,cpc_q1,cpc_q10,cpc_q2,cpc_q3,cpc_q4,cpc_q5,cpc_q6,cpc_q7,cpc_q8,cpc_q9,cpc_time_spent,exp_ultimatum_game_experience,feedback_accuracy,feedback_alternative,feedback_explanation,feedback_understanding,job_id,min_offer,model_type,offer,offer_dss,offer_final,prop_time_spent,prop_time_spent_dss,prop_worker_id,ras_assertiveness,ras_q1,ras_q10,ras_q11,ras_q12,ras_q13,ras_q14,ras_q15,ras_q16,ras_q17,ras_q18,ras_q19,ras_q2,ras_q20,ras_q21,ras_q22,ras_q23,ras_q24,ras_q25,ras_q26,ras_q27,ras_q28,ras_q29,ras_q3,ras_q30,ras_q4,ras_q5,ras_q6,ras_q7,ras_q8,ras_q9,ras_time_spent,resp_rowid,resp_time_spent,resp_worker_id,risk_expected_value,risk_q1,risk_q2,risk_q3,risk_q4,risk_time_spent,timestamp,worker_id
0.9277:0.9444:1.0:0.8876:0.706:0.9556,0.0528:0.0338:0.0501:0.13:0.8212:0.1957,6,75:85:100:65:50:95,27:11:6:18:5:7,6,50,1.7663033243692394,0.7905383398357327,0.0,0.0,0,373.5,0.3333333333333333,2,0.7196220810805503,prop:3QKB3,7.8699,10.434000000000001,2.1763,14.0,4.1583,2.2333,10.22,11.525,5.16,14.5,2.565,-1.0875,15.425,13,1,ai_slighly_better,4,4,5,3Z33IC0JD3SMJCBCWZ2FP1NIKQ99VU,45,real,75,85,85,10,78,A35X2#####N1W1,10,-2,-1,-1,-1,-1,-1,1,1,-1,-1,-1,2,-1,2,2,-1,1,2,-1,-1,2,-1,1,-1,-1,-1,2,-1,-1,2,52,34,10,ATP43#####P0C,2.595,1.02,1.38,3.0,4.98,68,2019-11-08 23:41:20.375344,A35X2#####N1W1
0.1363,0.0336,1,40,68,1,50,0.7862472003636766,0.14646590795280967,320.6666666666667,0.75,3,245.0,0.16666666666666666,1,-1.6419113162977828,prop:0xwNI,6.6277,8.346,2.8348,7.0,4.1583,2.2333,10.22,14.565,5.16,14.5,2.015,-9.0,15.425,8,1,ai_worse,1,4,1,3Z33IC0JD3SMJCBCWZ2FP1NIKQ99VU,50,real,40,40,40,22,68,A55T1#####2WC,19,1,2,-2,1,-1,-2,1,-3,-3,-1,-3,-3,3,-2,-3,-3,1,-1,-1,-1,-2,1,1,-2,-3,-2,-1,-3,3,1,30,35,23,A3D8W#####SOH,2.6925,1.08,1.71,3.0,4.98,14,2019-11-08 23:42:55.128963,A55T1#####2WC
0.706,0.8212,1,50,27,1,50,1.7663033243692394,0.35981104054027524,0.0,0.0,0,379.0,0.6666666666666666,4,1.5810766796714653,prop:5fKld,6.9831,6.159,5.9388,7.0,4.1583,2.2333,10.22,11.525,3.4167,15.0,2.565,-1.0875,14.8,40,1,ai_equal_to_proposer,4,4,4,3Z33IC0JD3SMJCBCWZ2FP1NIKQ99VU,45,real,50,50,50,12,27,ATP2B#####K2B,27,-2,-1,-1,1,2,-2,-2,-1,-2,-2,1,1,-1,2,2,-2,-1,1,-2,1,1,2,2,-2,-2,-1,2,-1,2,-2,104,36,15,A3NMQ#####6YE0,1.59,1.0499999999999998,1.3299999999999998,2.0,1.98,39,2019-11-08 23:46:20.136089,ATP2B#####K2B
0.0782:0.0899,0.0007:0.0013,2,20:30,47:14,2,50,0.7862472003636766,-0.14646590795280967,444.0,0.25,1,418.6,0.8333333333333334,5,1.6419113162977828,prop:wRDOR,10.4248,10.872,8.4422,14.0,4.1583,13.0,30.0,14.565,5.16,15.0,2.565,-9.0,14.8,68,15,ai_slighly_better,5,3,5,3Z33IC0JD3SMJCBCWZ2FP1NIKQ99VU,40,real,25,30,30,24,46,A1J1P#####FVPL,28,1,2,-2,2,-2,-2,-1,-1,1,-2,2,-2,2,3,2,-2,-1,-3,-2,2,2,2,-3,-2,-1,1,2,3,3,-2,126,37,8,AAAHL#####A2U,2.0175,1.0,1.08,2.0,3.99,32,2019-11-08 23:59:09.232410,A1J1P#####FVPL
0.706,0.8212,1,50,39,1,50,0.6262834321863123,-0.4837107830508505,210.5,0.5,2,270.2,0.8333333333333334,5,0.9674215661017009,prop:nhCkG,8.3968,9.076,6.1823,14.0,4.1583,13.0,10.22,14.565,5.16,14.5,2.565,-9.0,14.8,131,3,ai_much_worse,1,4,5,3Z33IC0JD3SMJCBCWZ2FP1NIKQ99VU,25,real,50,50,50,20,29,A52DU#####RFF,-10,1,-3,1,2,3,1,-1,-2,-3,-2,3,1,2,1,1,-3,1,-3,1,-3,-1,1,-3,1,1,-2,1,2,1,-1,166,38,28,A28VE#####E3B8,3.605,1.08,1.3299999999999998,4.0,8.01,97,2019-11-09 00:01:41.359404,A52DU#####RFF
0.9387:1.0,0.0316:0.0501,2,80:100,92:16,2,50,1.1441994342256387,0.12188122545031213,376.0,0.25,1,420.0,0.6666666666666666,4,1.1052170494915392,prop:cidkd,11.4002,13.342,6.386,14.0,6.5,13.0,30.0,14.565,5.16,14.5,2.565,-1.0875,14.8,198,0,ai_slighly_better,6,4,5,3Z33IC0JD3SMJCBCWZ2FP1NIKQ99VU,50,real,80,100,100,80,37,A3K9U#####GE57,-16,1,-1,2,1,2,1,1,2,-2,-2,3,1,-3,-1,1,-2,2,-2,1,1,1,-1,-2,-2,1,-2,-1,-1,2,-3,161,39,13,A37XJ#####ZYC,4.645,1.09,1.99,5.5,10.0,58,2019-11-09 00:08:38.569375,A3K9U#####GE57
0.1007,0.0192,2,35,78,1,50,0.3842982336128855,-0.6914970635503189,282.5,0.5,2,300.3333333333333,1.0,6,1.3829941271006378,prop:Vdp5D,10.2005,12.037,8.0898,14.0,4.1583,13.0,30.0,14.565,3.4167,14.5,2.565,-9.0,14.8,39,5,ai_equal_to_proposer,4,1,7,3Z33IC0JD3SMJCBCWZ2FP1NIKQ99VU,70,real,35,35,35,34,82,A2L1Q#####HLA5,4,1,1,1,1,1,-1,1,-1,1,1,1,-1,1,1,1,-1,-1,1,-1,-1,1,-1,1,1,-1,1,-1,1,1,1,112,40,45,A2J6Q#####TRVM,2.3425,1.0499999999999998,1.3299999999999998,3.0,3.99,29,2019-11-09 00:15:29.660718,A2L1Q#####HLA5
0.8876:0.9164,0.13:0.0548,2,65:70,18:1,2,50,0.6262834321863123,-0.4837107830508505,268.5,0.5,2,197.6,0.8333333333333334,5,0.9674215661017009,prop:65aMi,9.8354,9.72,6.8213,14.0,4.1583,2.2333,30.0,11.525,5.16,15.0,2.565,-1.0875,14.8,59,0,ai_slighly_better,6,6,5,3Z33IC0JD3SMJCBCWZ2FP1NIKQ99VU,50,real,50,70,70,10,14,A29LY#####QSOF,-56,3,-3,3,3,2,-1,1,3,-1,-3,3,3,-2,-3,-2,3,3,-3,3,-2,-3,-2,-1,3,1,-3,1,-2,1,3,106,42,15,A2RLY#####6ETD,2.595,1.02,1.38,3.0,4.98,35,2019-11-09 00:19:55.135963,A29LY#####QSOF
0.706,0.8212,1,50,73,1,50,1.7663033243692394,0.35981104054027524,0.0,0.0,0,273.0,0.6666666666666666,4,1.5810766796714653,prop:qAtSF,11.1661,13.097000000000001,6.4523,14.0,4.1583,13.0,30.0,14.565,5.16,14.5,2.565,-1.0875,14.8,119,1,ai_much_better,2,3,6,3Z33IC0JD3SMJCBCWZ2FP1NIKQ99VU,50,real,50,50,50,12,81,A1BVG#####M1YD,-11,1,-1,2,3,3,1,-1,1,-2,1,2,1,1,1,-2,-2,1,-2,2,-1,-1,2,-2,2,2,-2,3,1,2,-1,194,41,19,A36FB#####N139,4.645,1.09,1.99,5.5,10.0,122,2019-11-09 00:09:44.355607,A1BVG#####M1YD
0.706:0.1538,0.8212:0.0767,2,50:45,73:12,2,50,1.1441994342256387,0.12188122545031213,358.0,0.25,1,339.5,0.6666666666666666,4,1.1052170494915392,prop:yaCVw,8.8841,10.524000000000001,4.4613,14.0,4.1583,13.0,10.22,11.525,5.16,14.5,2.565,-1.0875,14.8,111,0,ai_sligthly_worse,5,6,3,3Z33IC0JD3SMJCBCWZ2FP1NIKQ99VU,50,real,50,50,50,21,79,A308F#####J8WV,37,-2,2,-1,-3,-2,-3,-3,1,-3,1,-3,1,-1,1,1,-3,2,2,-3,-3,1,3,1,3,-2,-3,2,-1,2,-2,145,43,10,A34V3#####3BMF,1.7475,1.0,1.0,1.0,3.99,42,2019-11-09 00:20:09.421318,A308F#####J8WV
0.1007,0.0192,1,35,25,1,50,1.2554175313546805,0.33724487509804085,335.0,0.25,1,275.6666666666667,0.5,3,0.6744897501960817,prop:QOzLJ,7.8574,6.784,5.8013,14.0,4.1583,2.2333,10.22,11.525,5.16,15.0,2.565,-1.0875,14.8,110,0,ai_equal_to_proposer,5,5,6,3Z33IC0JD3SMJCBCWZ2FP1NIKQ99VU,50,real,100,50,50,10,21,A2NMA#####TO0R,66,-2,3,-2,-2,-3,-3,1,-2,-3,2,-2,-3,2,2,3,-3,-3,2,-3,2,1,3,2,-3,1,-3,2,2,2,-3,122,44,9,AGY4F#####H9G,4.2875,1.0499999999999998,1.6,4.5,10.0,59,2019-11-09 00:20:54.910050,A2NMA#####TO0R
0.706,0.8212,1,50,25,1,50,0.7447665023958179,1.266671753738323,0.0,0.0,0,0.0,0.0,0,-0.2326447467246302,prop:BQ6G4,10.9918,13.122,7.3398,14.0,4.1583,13.0,30.0,14.565,3.4167,14.5,2.565,-1.0875,14.8,61,0,ai_equal_to_proposer,4,2,7,3Z33IC0JD3SMJCBCWZ2FP1NIKQ99VU,30,real,50,50,50,11,25,A2BZY#####GEDL,4,1,1,-1,1,-1,-1,1,-1,1,-1,1,-1,-1,1,-1,1,-1,1,-1,1,-1,1,1,1,1,-1,1,-1,1,-1,48,45,16,A1X44#####IQ78,3.665,1.05,1.6,4.0,8.01,40,2019-11-09 00:23:46.480076,A2BZY#####GEDL
,,0,,,0,50,1.1441994342256387,0.12188122545031213,269.0,0.25,1,282.75,0.6666666666666666,4,1.1052170494915392,prop:gkC3f,9.7929,13.38,2.8838,14.0,4.1583,2.2333,30.0,11.525,5.16,14.5,2.015,-1.0875,15.425,77,0,ai_better,6,5,6,3Z33IC0JD3SMJCBCWZ2FP1NIKQ99VU,50,real,30,55,55,15,15,A2T9I#####WFP9,-20,2,3,3,-1,3,-3,3,3,3,-3,-1,3,-3,1,-3,3,3,3,3,-1,1,1,3,2,3,-3,3,-1,3,1,202,46,8,AXTFS#####LO5,1.0,1.0,1.0,1.0,1.0,25,2019-11-09 00:20:18.590908,A2T9I#####WFP9
0.0681:0.0899:0.1363:0.706:0.9387,0.0009:0.0013:0.0336:0.8212:0.0316,5,10:30:40:50:80,29:9:3:2:5,5,50,0.7447665023958179,-0.1163223733623151,0.0,0.0,0,353.5,1.0,6,2.533343507476646,prop:xsKme,9.8354,9.72,6.8213,14.0,4.1583,2.2333,30.0,11.525,5.16,15.0,2.565,-1.0875,14.8,98,0,ai_much_worse,1,4,3,3Z33IC0JD3SMJCBCWZ2FP1NIKQ99VU,50,real,50,50,50,8,50,A1C59#####O503,36,-1,2,-2,-3,-1,-3,-2,-2,-3,1,-2,-2,-3,2,2,-3,-1,1,2,2,-1,-1,1,-2,2,-3,2,-2,1,-3,124,47,15,A3CPQ#####J09F,3.915,1.05,1.6,5.0,8.01,52,2019-11-09 00:21:34.794921,A1C59#####O503
0.706,0.8212,1,50,27,1,50,0.4824547397462529,-1.0287419386483598,324.3333333333333,0.75,3,298.3333333333333,1.0,6,0.7085043769045564,prop:WIALN,7.1574,6.1339999999999995,5.0513,7.0,4.1583,2.2333,10.22,11.525,5.16,15.0,2.565,-1.0875,14.8,62,0,ai_equal_to_proposer,4,2,7,3Z33IC0JD3SMJCBCWZ2FP1NIKQ99VU,45,real,50,50,50,9,28,AZOLO#####1K0,-38,2,-2,1,2,3,-1,2,1,-3,-3,2,3,-1,-1,-1,1,1,-3,-1,-1,-3,-3,-1,3,1,-1,-2,-1,-1,-1,305,50,17,A1U3O#####I8JD,3.485,1.0499999999999998,1.38,3.5,8.01,89,2019-11-09 00:21:07.442600,AZOLO#####1K0
0.706,0.8212,1,50,24,1,50,0.7862472003636766,-0.14646590795280967,423.0,0.25,1,356.8,0.8333333333333334,5,1.6419113162977828,prop:Meats,9.3482,8.272,8.5422,14.0,4.1583,2.2333,30.0,14.565,5.16,15.0,2.565,-9.0,14.8,132,8,ai_equal_to_proposer,1,2,6,3Z33IC0JD3SMJCBCWZ2FP1NIKQ99VU,30,real,50,50,50,9,20,APKFF#####6NZ,50,-2,-2,-2,-3,-1,-3,-3,-1,-3,-1,-2,-2,1,2,2,-3,-3,1,1,2,2,2,1,-1,-2,-2,2,2,2,-2,156,48,11,A3T1A#####ZZXY,4.645,1.09,1.99,5.5,10.0,75,2019-11-09 00:20:55.646090,APKFF#####6NZ
0.706,0.8212,1,50,48,1,50,1.2137316295023657,0.0914639071371534,0.0,0.0,0,373.4,0.8333333333333334,5,2.1177709464777092,prop:u7FDF,9.1262,11.556,5.1748,14.0,4.1583,13.0,10.22,14.565,3.4167,15.0,2.565,-1.0875,15.425,62,0,ai_worse,1,3,6,3Z33IC0JD3SMJCBCWZ2FP1NIKQ99VU,60,real,50,50,50,10,50,A295X#####0NH5,13,-2,2,-2,2,-2,2,-2,2,-2,-2,2,-2,2,2,3,1,2,1,-2,-2,2,2,-2,-2,2,2,2,-2,2,-2,127,51,6,A3DQL#####PEL8,3.28,1.02,1.6,3.5,7.0,28,2019-11-09 00:52:28.519400,A295X#####0NH5
0.706:0.0899:0.716,0.8212:0.0013:0.2681,4,50:30:55,63:13:5,3,50,0.7447665023958179,1.266671753738323,0.0,0.0,0,0.0,0.0,0,-0.2326447467246302,prop:j4VTr,10.0844,9.367,7.4798,14.0,4.1583,2.2333,30.0,14.565,5.16,15.0,2.015,-1.0875,14.8,33,2,ai_equal_to_proposer,3,3,5,3Z33IC0JD3SMJCBCWZ2FP1NIKQ99VU,100,real,50,50,50,32,60,A3UPA#####7HKJ,8,1,-3,-3,-3,-3,-3,-3,-3,-2,1,1,-1,-3,-3,-3,-3,3,-3,-3,-3,-3,3,1,-3,-2,-3,-3,-3,-3,-3,145,49,35,A13Y9#####5X5P,2.8075,1.0499999999999998,1.2000000000000002,4.0,4.98,90,2019-11-09 00:22:44.042691,A3UPA#####7HKJ
0.706,0.8212,1,50,26,1,50,1.93799095924558,0.5751746901880039,0.0,0.0,0,478.0,0.5,3,1.150349380376008,prop:GL53f,9.0804,9.08,5.7588,7.0,4.1583,2.2333,30.0,11.525,5.16,15.0,2.015,-1.0875,14.8,113,10,ai_sligthly_worse,3,3,5,3Z33IC0JD3SMJCBCWZ2FP1NIKQ99VU,25,real,50,50,50,14,24,AE608#####M2E,-28,1,-3,1,3,3,3,2,3,-1,-2,-1,3,-1,-3,3,2,1,-1,3,-1,1,-3,-1,1,2,-3,3,1,3,1,312,55,22,A1LE6#####JNIT,3.25,1.0,1.0,1.0,10.0,105,2019-11-09 00:54:42.070072,AE608#####M2E
0.706:0.1538:0.9387:0.1363:0.716:0.8876,0.8212:0.0767:0.0316:0.0336:0.2681:0.13,10,50:45:80:40:55:65,44:18:3:3:9:3,6,50,0.7447665023958179,1.266671753738323,0.0,0.0,0,0.0,0.0,0,-0.2326447467246302,prop:s7jnE,10.5286,14.957,3.3173,7.0,4.1583,13.0,30.0,14.565,5.16,14.5,2.565,-1.0875,15.425,130,4,ai_equal_to_proposer,2,2,5,3Z33IC0JD3SMJCBCWZ2FP1NIKQ99VU,20,real,50,50,50,23,79,ANBIW#####CQQ,2,-2,-1,-2,-2,-2,-3,1,-2,-2,-3,-1,1,-1,-1,-1,-1,2,-2,-1,1,-1,-2,-1,1,2,-1,1,-3,2,-2,151,53,18,A8KX1#####E2Q,4.645,1.09,1.99,5.5,10.0,203,2019-11-09 00:51:10.710714,ANBIW#####CQQ
,,0,,,0,50,0.7447665023958179,-0.1163223733623151,0.0,0.0,0,244.33333333333331,1.0,6,2.533343507476646,prop:PYQ97,8.658,9.032,7.3735,7.0,6.5,2.2333,30.0,14.565,3.4167,14.5,2.565,-9.0,14.8,121,25,ai_better,5,6,5,3Z33IC0JD3SMJCBCWZ2FP1NIKQ99VU,5,real,50,50,50,12,9,A3JM3#####1L0S,-44,2,-3,3,3,3,3,3,3,3,-1,2,3,1,-1,-1,-2,3,-3,3,-3,-2,1,-2,3,3,-2,3,2,2,1,145,56,15,A2XC9#####6PLH,2.2225,1.0499999999999998,1.3299999999999998,2.52,3.99,120,2019-11-09 01:01:19.401391,A3JM3#####1L0S
0.083:0.1007:0.706:0.1363,0.0007:0.0192:0.8212:0.0336,4,25:35:50:40,43:10:6:12,4,50,1.93799095924558,0.5751746901880039,0.0,0.0,0,382.66666666666674,0.5,3,1.150349380376008,prop:EVwV6,11.4002,13.342,6.386,14.0,6.5,13.0,30.0,14.565,5.16,14.5,2.565,-1.0875,14.8,34,0,ai_equal_to_proposer,2,3,5,3Z33IC0JD3SMJCBCWZ2FP1NIKQ99VU,25,real,50,50,50,17,64,AO7FM#####0CL,16,-1,2,-2,-2,-3,-1,1,-1,-3,-3,3,-2,-1,2,1,-2,1,-2,-1,-2,1,1,-1,-1,1,-2,1,-1,1,-2,131,54,6,A2FCQ#####PYHS,4.375,1.0,1.0,5.5,10.0,20,2019-11-09 00:59:38.112825,AO7FM#####0CL
0.706:0.1538,0.8212:0.0767,2,50:45,37:14,2,50,0.7447665023958179,-0.1163223733623151,0.0,0.0,0,414.66666666666674,1.0,6,2.533343507476646,prop:QekxX,11.2259,13.367,7.2735,14.0,6.5,13.0,30.0,14.565,3.4167,14.5,2.565,-1.0875,14.8,83,0,ai_better,6,2,7,3Z33IC0JD3SMJCBCWZ2FP1NIKQ99VU,40,real,50,50,50,17,40,A3HNO#####W7KD,-49,1,-2,1,2,2,1,1,1,-2,-2,2,2,-2,-1,1,2,2,-2,2,-3,-3,-2,-2,2,1,2,-2,-3,-3,1,83,57,8,A3VTO#####TBRR,3.4125,1.05,1.6,4.0,7.0,36,2019-11-09 01:12:33.274314,A3HNO#####W7KD
0.706,0.8212,1,50,20,1,50,1.2554175313546805,-0.33724487509804085,317.3333333333333,0.75,3,281.6666666666667,0.5,3,-0.6744897501960817,prop:61Nh4,9.9151,10.522,7.4397,14.0,4.1583,2.2333,30.0,14.565,3.4167,14.5,2.565,-1.0875,14.8,23,0,ai_sligthly_worse,4,5,4,3Z33IC0JD3SMJCBCWZ2FP1NIKQ99VU,40,real,50,50,50,8,19,A1YI1#####3ING,5,-1,1,-2,-2,-2,1,1,-1,1,1,1,-1,1,-1,-1,-1,1,-1,1,1,-1,1,1,-1,-1,1,-1,1,-1,1,61,60,15,A1842#####Z590,2.4275,1.02,1.2000000000000002,3.5,3.99,8,2019-11-09 02:31:06.959918,A1YI1#####3ING
0.706,0.8212,1,50,44,1,50,1.7663033243692394,0.7905383398357327,0.0,0.0,0,351.0,0.3333333333333333,2,0.7196220810805503,prop:4f0DO,8.1791,8.744,4.6388,7.0,4.1583,13.0,10.22,11.525,5.16,15.0,2.015,-1.0875,14.8,122,0,ai_equal_to_proposer,2,2,6,3Z33IC0JD3SMJCBCWZ2FP1NIKQ99VU,25,real,50,50,50,13,43,A5XQ3#####HK6,-23,2,-2,1,-3,2,-1,2,2,-1,-3,-1,-1,-1,-1,-1,-1,2,-2,2,-1,-2,-2,-1,1,1,1,1,-1,2,1,217,58,18,A1ZK0#####6UPY,3.8225,1.08,1.71,3.5,9.0,138,2019-11-09 01:08:53.378123,A5XQ3#####HK6
0.0782:0.7877:0.9556:0.8876:0.1538:0.716,0.0007:0.3978:0.1957:0.13:0.0767:0.2681,8,20:60:95:65:45:55,36:10:2:8:2:3,6,50,0.7862472003636766,0.8209556581488914,262.0,0.25,1,194.0,0.16666666666666666,1,-0.2929318159056193,prop:vqcCr,9.5823,8.517000000000001,8.476,14.0,6.5,2.2333,30.0,14.565,5.16,15.0,2.565,-9.0,14.8,94,0,ai_better,2,2,6,3Z33IC0JD3SMJCBCWZ2FP1NIKQ99VU,50,real,20,60,60,16,55,AVPW7#####FSM,-5,1,2,2,1,1,1,2,2,2,1,1,1,2,2,1,2,2,2,2,2,2,2,3,2,1,2,1,1,1,2,95,59,9,A1YNB#####FUVW,1.0625,1.05,1.2000000000000002,1.0,1.0,110,2019-11-09 02:25:16.756778,AVPW7#####FSM
0.706,0.8212,1,50,35,1,50,1.2137316295023657,-1.0588854732388544,291.75,1.0,4,351.0,0.8333333333333334,5,-0.1829278142743068,prop:R7K7r,10.8571,12.33,6.4087,14.0,4.1583,13.0,30.0,11.525,5.16,15.0,2.015,-1.0875,14.8,86,0,ai_equal_to_proposer,1,6,3,3Z33IC0JD3SMJCBCWZ2FP1NIKQ99VU,50,real,50,50,50,12,33,AKK6H#####RF6,-41,2,-2,2,3,3,1,2,2,-3,-3,2,2,-3,2,1,1,2,-3,2,-2,-1,-2,-1,1,2,1,-3,-3,2,-2,117,63,7,A1JDE#####1E33,2.7575,1.05,1.5,3.5,4.98,38,2019-11-09 02:53:15.574971,AKK6H#####RF6
0.706,0.8212,1,50,82,1,50,1.0,0.0,281.5,0.5,2,343.3333333333333,0.5,3,0.0,prop:ZWMKd,9.613,12.757,6.1948,7.0,4.1583,13.0,30.0,14.565,3.4167,15.0,2.565,-9.0,15.425,84,1,ai_sligthly_worse,2,2,6,3Z33IC0JD3SMJCBCWZ2FP1NIKQ99VU,50,real,50,50,50,41,56,A256T#####UPN2,-50,1,-3,1,1,3,-2,1,3,3,-3,3,3,-2,-2,-2,1,3,-3,2,-3,-3,-2,-3,3,1,2,2,2,2,1,84,61,4,A23QI#####SA0I,2.2225,1.0499999999999998,1.3299999999999998,2.52,3.99,38,2019-11-09 02:37:32.975104,A256T#####UPN2
0.1363:0.1007:0.706,0.0336:0.0192:0.8212,3,40:35:50,42:26:12,3,50,0.7447665023958179,1.266671753738323,0.0,0.0,0,0.0,0.0,0,-0.2326447467246302,prop:DVxAp,9.1354,9.07,6.0713,7.0,4.1583,2.2333,30.0,11.525,5.16,15.0,2.565,-1.0875,14.8,71,0,ai_slighly_better,4,6,2,3Z33IC0JD3SMJCBCWZ2FP1NIKQ99VU,40,real,50,50,50,12,79,AH9Y3#####G32,32,1,1,-2,-2,-2,-2,1,1,-2,-2,-2,-2,1,1,1,-2,-2,2,-2,1,2,2,-1,-2,-2,-2,1,2,-1,1,133,62,7,A3SSE#####7NI7,2.3075,1.0499999999999998,1.2000000000000002,2.0,4.98,66,2019-11-09 02:49:46.830323,AH9Y3#####G32
0.706,0.8212,1,50,15,1,50,1.93799095924558,0.5751746901880039,0.0,0.0,0,345.0,0.5,3,1.150349380376008,prop:NbwmB,11.4628,15.852,4.001,14.0,6.5,13.0,30.0,14.565,5.16,14.5,2.565,-1.0875,15.425,75,0,ai_better,3,2,5,3Z33IC0JD3SMJCBCWZ2FP1NIKQ99VU,40,real,50,50,50,5,22,A3C8N#####YMT2,-68,2,-3,1,3,3,2,1,3,2,-3,3,3,-3,-2,-3,2,2,-3,2,-3,-3,-3,-3,2,2,1,-2,-3,-2,-2,134,66,9,AJ7MW#####3E4,2.875,1.0,1.5,3.0,6.0,30,2019-11-10 16:00:08.981537,A3C8N#####YMT2
0.1363,0.0336,1,40,32,1,50,0.6262834321863123,0.4837107830508505,348.5,0.5,2,293.0,0.16666666666666666,1,-0.9674215661017009,prop:BwKMU,8.9341,9.384,5.7012,14.0,4.1583,13.0,10.22,11.525,5.16,15.0,2.565,-1.0875,14.8,34,0,ai_sligthly_worse,4,5,4,3Z33IC0JD3SMJCBCWZ2FP1NIKQ99VU,100,real,40,50,50,16,40,A2CJN#####LCTH,37,-3,2,-3,2,-3,-3,2,-2,-3,2,2,-2,2,3,-3,-3,1,-2,-3,2,3,1,-2,-3,1,-2,2,1,1,-3,135,65,7,A2Z7S#####5OOI,4.645,1.09,1.99,5.5,10.0,14,2019-11-10 15:57:55.571158,A2CJN#####LCTH
0.706,0.8212,1,50,19,1,50,0.3842982336128855,-0.6914970635503189,362.0,0.5,2,312.6666666666667,1.0,6,1.3829941271006378,prop:fWvgC,11.2161,11.957,7.6922,14.0,4.1583,13.0,30.0,14.565,5.16,15.0,2.565,-1.0875,14.8,118,0,ai_equal_to_proposer,3,5,4,3Z33IC0JD3SMJCBCWZ2FP1NIKQ99VU,50,real,50,50,50,9,16,A3PBA#####FGA3,-8,2,1,-1,2,-2,1,-1,1,-2,-2,1,1,-2,-2,-2,-3,-2,1,-2,-2,-1,-2,-2,1,-1,-2,2,-3,1,2,207,67,26,A5X1K#####REK,1.295,1.0,1.2000000000000002,1.0,1.98,71,2019-11-10 16:13:56.101165,A3PBA#####FGA3
0.1538:0.706:0.0069:1.0:0.716:0.1363,0.0767:0.8212:0.0489:0.0501:0.2681:0.0336,8,45:50:0:100:55:40,56:23:4:4:3:3,6,50,0.7862472003636766,-0.14646590795280967,234.0,0.25,1,336.8,0.8333333333333334,5,1.6419113162977828,prop:fC5y0,7.1958,5.361000000000001,8.4097,14.0,4.1583,2.2333,10.22,14.565,3.4167,15.0,2.565,-9.0,14.8,98,0,ai_slighly_better,4,1,7,3Z33IC0JD3SMJCBCWZ2FP1NIKQ99VU,45,real,45,50,50,15,106,A3IO8#####G09B,36,2,2,-3,-3,-2,-3,-1,-3,-3,2,1,-3,-1,2,3,-2,1,-1,-2,-1,1,2,-1,-3,2,-3,2,-3,2,-2,86,64,6,A3QSJ#####0N6V,2.1875,1.04,1.2000000000000002,2.52,3.99,22,2019-11-10 15:41:47.484938,A3IO8#####G09B
0.1363,0.0336,1,40,25,1,50,1.1441994342256387,0.5526085247457696,484.0,0.25,1,411.0,0.3333333333333333,2,0.2437624509006241,prop:CkIWZ,9.9715,14.117,4.001,7.0,6.5,13.0,30.0,14.565,5.16,14.5,2.565,-9.0,15.425,81,1,ai_sligthly_worse,2,4,4,3Z33IC0JD3SMJCBCWZ2FP1NIKQ99VU,35,real,50,50,50,11,23,A2KVY#####K95F,44,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,2,-2,-2,2,2,2,-2,-2,-2,2,2,2,2,85,69,10,A2SYT#####WJO5,3.395,1.08,1.5,4.0,7.0,111,2019-11-10 16:42:58.581487,A2KVY#####K95F
0.706,0.8212,1,50,29,1,50,0.7862472003636766,-0.14646590795280967,327.0,0.25,1,267.0,0.8333333333333334,5,1.6419113162977828,prop:AWZ0m,8.9341,9.384,5.7012,14.0,4.1583,13.0,10.22,11.525,5.16,15.0,2.565,-1.0875,14.8,46,0,ai_equal_to_proposer,2,4,6,3Z33IC0JD3SMJCBCWZ2FP1NIKQ99VU,40,real,50,50,50,10,32,A4ZPI#####24H,-12,-2,-2,3,3,3,1,1,1,-2,-1,-1,2,1,-3,-1,-2,3,1,3,-2,-1,1,1,3,-2,-3,2,2,2,1,93,68,11,A2ZT5#####K8X9,2.3525,1.04,1.38,3.0,3.99,33,2019-11-10 16:42:06.244631,A4ZPI#####24H
