,worker_id,worker_bonus,assignment_id
,A1IUWP32P9PKS2,1,AASDFAEFSDFASDFASDFA
,A1IUWP32P9PKS2,1,AASDFAEFSDFASDFASDFA
,A1IUWP32P9PKS2,1,AASDFAEFSDFASDFASDFA
,A1IUWP32P9PKS2,1,AASDFAEFSDFASDFASDFA
,A1IUWP32P9PKS2,1,AASDFAEFSDFASDFASDFA
,A1IUWP32P9PKS2,1,AASDFAEFSDFASDFASDFA
,A1IUWP32P9PKS2,1,AASDFAEFSDFASDFASDFA
,A1IUWP32P9PKS2,1,AASDFAEFSDFASDFASDFA
,A1IUWP32P9PKS2,1,AASDFAEFSDFASDFASDFA
,A1IUWP32P9PKS2,1,AASDFAEFSDFASDFASDFA
,A1IUWP32P9PKS2,1,AASDFAEFSDFASDFASDFA
,A1IUWP32P9PKS2,1,AASDFAEFSDFASDFASDFA